fname,lname,POS,BAT,THW,Age,HT,WT,Team,city,state,League
Keegan,Akin,RP,L,L,28,72,240,Baltimore Orioles,Alma,MI,MLB
Bryan,Baker,RP,R,R,29,78,235,Baltimore Orioles,Fort Walton Beach,FL,MLB
Mike,Baumann,RP,R,R,28,76,240,Baltimore Orioles,Mahtomedi,MN,MLB
Felix,Bautista,RP,R,R,28,80,285,Baltimore Orioles,Santo Domingo,Dominican Republic,MLB
Kyle,Bradish,SP,R,R,27,75,215,Baltimore Orioles,Peoria,AZ,MLB
Yennier,Cano,RP,R,R,29,76,245,Baltimore Orioles,Havana,Cuba,MLB
Danny,Coulombe,RP,L,L,34,70,190,Baltimore Orioles,St. Louis,MO,MLB
Tucker,Davidson,RP,L,L,27,74,215,Baltimore Orioles,Amarillo,TX,MLB
DL,Hall,RP,L,L,25,74,210,Baltimore Orioles,Valdosta,GA,MLB
Jonathan,Heasley,RP,R,R,26,75,225,Baltimore Orioles,Plano,TX,MLB
Cole,Irvin,SP,L,L,29,76,225,Baltimore Orioles,Anaheim,CA,MLB
Seth,Johnson,SP,R,R,25,73,205,Baltimore Orioles,Concord,NC,MLB
Craig,Kimbrel,RP,R,R,35,72,215,Baltimore Orioles,Huntsville,AL,MLB
Dean,Kremer,SP,R,R,28,74,210,Baltimore Orioles,Stockton,CA,MLB
John,Means,SP,L,L,30,76,230,Baltimore Orioles,Olathe,KS,MLB
Cionel,Perez,RP,R,L,27,72,175,Baltimore Orioles,Matanzas,Cuba,MLB
Grayson,Rodriguez,SP,L,R,24,77,230,Baltimore Orioles,Houston,TX,MLB
Dillon,Tate,RP,R,R,29,74,190,Baltimore Orioles,Harbor City,CA,MLB
Nick,Vespi,RP,L,L,28,75,235,Baltimore Orioles,Miami,FL,MLB
Jacob,Webb,RP,R,R,30,74,210,Baltimore Orioles,Riverside,CA,MLB
Tyler,Wells,SP,R,R,29,80,260,Baltimore Orioles,Tulsa,OK,MLB
Bruce,Zimmermann,RP,L,L,28,73,220,Baltimore Orioles,Baltimore,MD,MLB
James,McCann,C,R,R,33,75,235,Baltimore Orioles,Santa Barbara,CA,MLB
Adley,Rutschman,C,B,R,25,74,230,Baltimore Orioles,Portland,OR,MLB
Gunnar,Henderson,3B,L,R,22,75,220,Baltimore Orioles,Montgomery,AL,MLB
Jorge,Mateo,SS,R,R,28,73,200,Baltimore Orioles,Santo Domingo,Dominican Republic,MLB
Ryan,Mountcastle,1B,R,R,26,76,220,Baltimore Orioles,Winter Springs,FL,MLB
Tyler,Nevin,3B,R,R,26,76,225,Baltimore Orioles,Poway,CA,MLB
Ryan,O'Hearn,1B,L,L,30,75,220,Baltimore Orioles,Dunedin,FL,MLB
Joey,Ortiz,2B,R,R,25,69,190,Baltimore Orioles,Garden Grove,CA,MLB
Ramon,Urias,3B,R,R,29,70,185,Baltimore Orioles,Sonora,Mexico,MLB
Jordan,Westburg,2B,R,R,24,74,210,Baltimore Orioles,New Braunfels,TX,MLB
